archive_id,year,country,region,name
1,2011,Kenya,Coastal Region,
2,2011,Uganda,South West,
3,2011,Kenya,Nyanza Province,
4,2012,Kenya,Rift Valley,
5,2012,Uganda,Northern,
6,2013,Uganda,Central & Eastern,
7,2014,Kenya,Central/Eastern,
8,2015,Uganda,Royal Palaces,
9,2016,Uganda,Royal Palaces,
10,2017,Tanzania,Dar es Salaam/Bagamoyo,
11,2017,Kenya,,Masters of the Nyatiti
12,2018,Kenya,"Busia, Bungoma, Kakamega & Vihiga",
13,2019,Tanzania,Northern,
14,2020,Zanzibar & Pemba,,
15,2022,Kenya,Western,
16,2023,Rwanda,,
