archive_id,date,location,field_trip_id,field_trip description (not used for import)
KEN2011A-01,2011-03-29,Sita,1,2011 Kenya (Coastal Region)
KEN2011A-02,2011-03-30,Kibrani,1,2011 Kenya (Coastal Region)
KEN2011A-03,2011-03-30,Junda,1,2011 Kenya (Coastal Region)
KEN2011A-04,2011-03-31,Vuga,1,2011 Kenya (Coastal Region)
KEN2011B-01,2011-05-14,Lake Turkana Cultural Festival,#N/A,#N/A
KEN2011B-02,2011-05-15,"Saila Bandas Hotel, Loiyangalai",#N/A,#N/A
UGA2011-01,2011-11-22,"Birara Community, Kisoro District",2,2011 Uganda (South West)
UGA2011-02,2011-11-23,"Mperwa Community, Kisoro District",2,2011 Uganda (South West)
UGA2011-03,2011-11-23,"Nyakabande UNHCR Camp, Kisoro District",2,2011 Uganda (South West)
UGA2011-04,2011-11-23,"Travelers Rest Hotel, Kisoro",2,2011 Uganda (South West)
UGA2011-05,2011-11-24,"Travelers Rest Hotel, Kisoro",2,2011 Uganda (South West)
KEN2011C-01,2011-11-28,"Rang'ala Village, Nyanza province",3,2011 Kenya (Nyanza Province)
KEN2011C-02,2011-11-29,"Aluny Village, Nyanza Province",3,2011 Kenya (Nyanza Province)
KEN2011C-03,2011-11-30,"Homa Bay Hotel, Homa Bay",3,2011 Kenya (Nyanza Province)
KEN2011C-04,2011-12-01,"Dinky's Resort Club, Rongo",3,2011 Kenya (Nyanza Province)
KEN2012-01,2012-03-05,"Chesamis High School, Kapsokwony",4,2012 Kenya (Rift Valley)
KEN2012-02,2012-03-06,"Sila, Kapenguria",4,2012 Kenya (Rift Valley)
KEN2012-03,2012-03-07,Kobil,4,2012 Kenya (Rift Valley)
KEN2012-04,2012-03-08,"Kabarnet Museum, Baringo",4,2012 Kenya (Rift Valley)
UGA2012-01,2012-12-01,"Acet Central, Gulu, Northern Region",5,2012 Uganda (Northern)
UGA2012-02,2012-12-02,"Paibona, Awach, Gulu, Northern Province",5,2012 Uganda (Northern)
UGA2012-03,2012-12-03,"Widiang'a Village, Pakwach,  Nebbi District",5,2012 Uganda (Northern)
UGA2012-04,2012-12-03,"Fort Murchison, Pakwach, Nebbi District",5,2012 Uganda (Northern)
UGA2012-05,2012-12-05,"Obulelira Village, Soroti, Eastern Region",5,2012 Uganda (Northern)
UGA2012-06,2012-12-06,"Naguru, Kampala",5,2012 Uganda (Northern)
UGA2012-07,2012-12-06,"Entebbe Airport Guesthouse, Entebbe",5,2012 Uganda (Northern)
UGA2013-01,2013-11-19,Kidinda Village,6,2013 Uganda (Central & Eastern)
UGA2013-02,2013-11-20,"Budaka Progressive school, Budaka",6,2013 Uganda (Central & Eastern)
UGA2013-03,2013-11-21,"Bugwere Road Market, Mbale",6,2013 Uganda (Central & Eastern)
UGA2013-04,2013-11-21,"Nakinsene, near Inganga",6,2013 Uganda (Central & Eastern)
UGA2013-05,2013-11-22,"Gately on the Nile Hotel, Jinja",6,2013 Uganda (Central & Eastern)
UGA2013-06,2013-11-23,"Gately on the Nile Hotel, Jinja",6,2013 Uganda (Central & Eastern)
UGA2013-07,2013-11-24,"Kaymbogo University, Kampala",6,2013 Uganda (Central & Eastern)
UGA2013-08,2013-11-24,"Uganda Museum, Kampala",6,2013 Uganda (Central & Eastern)
UGA2013-09,2013-11-25,"Airport Guesthouse, Entebbe",6,2013 Uganda (Central & Eastern)
KEN2014-01,2014-03-02,Kiongwe,7,2014 Kenya (Central/Eastern)
KEN2014-02,2014-03-03,Kangema,7,2014 Kenya (Central/Eastern)
KEN2014-03,2014-03-04,Heritage Hotel Nkubu,7,2014 Kenya (Central/Eastern)
KEN2014-04,2014-03-05,Mukuuni,7,2014 Kenya (Central/Eastern)
UGA2015-01,2015-11-30,Kyambogo University,8,2015 Uganda (Royal Palaces)
